Título,Revisiones,Año Publicación,Idioma,Rating,ISBN
What Every Investor Needs to Know about Accounting Fraud,2,2003,2,3.27,0071422765
What Every Fidelity Investor Needs to Know,1,2006,2,3.86,0470036273
Millionaire Women Next Door: The Many Journeys of Successful American Businesswomen,64,2004,2,3.88,0740745328
Think and Grow Rich,5,2001,2,4.18,158063205X
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,2336,2005,1,4.18,1585424331
Think and Grow Rich!,25,2004,2,4.18,1593302002
The Think and Grow Rich Action Pack,2,1988,2,4.18,0452266602
Think and Grow Rich: Instant Motivator,1,2003,2,4.18,1932429158
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),14,2006,1,3.58,0977616657
Practical Subversion,0,2004,2,3.83,1590592905
Control and Subversion: Gender Relations  in Tajikistan,0,2004,2,4.29,0745321674
Bodies of Subversion: A Secret History of Women and Tattoo,19,2001,2,4.01,189045110X
Dreams of Subversion in Medieval Jewish Art and Literature,2,1997,2,3.71,0271016051
Recovering Subversion: FEMINIST POLITICS BEYOND THE LAW,0,2004,2,4.22,0252029690
Trump: The Art of the Deal,972,2004,1,3.67,0345479173
Trump Strategies for Real Estate: Billionaire Lessons for the Small Investor,18,2006,2,4.11,0471774340
Trump University Real Estate 101: Building Wealth with Real Estate Investments,9,2006,2,3.65,0471917273
Trump: How to Get Rich,164,2004,2,3.38,0345481038
Trump: The Way to the Top: The Best Business Advice I Ever Received,28,2004,2,3.38,1400050162
Trump,0,1997,2,3.55,0609000683
Trump: Surviving at the Top,13,1990,2,3.52,0394575970
Trump: The Best Real Estate Advice I Ever Received: 100 Top Experts Share Their Strategies,14,2006,2,3.56,140160255X
Maybe You Never Cry Again,52,2004,2,4.26,0060529326
Bernie Mac,0,2006,2,5.0,1584154888
The Richest Man in Babylon,3555,2008,1,4.26,0451205367
Richest Man In Babylon For Today,9,2004,2,3.88,0967936632
Shibumi,641,2005,1,4.21,1400098033
Shibumi and the Kitemaker,1,2003,2,4.05,0761451455
1776,6288,2006,1,4.07,0743226720
If You Were There in 1776,5,1994,2,3.7800000000000002,0027123227
Gap Creek,19,2001,2,3.73,074322535X
For the Good of the Earth and Sun: Teaching Poetry,8,1989,2,4.27,043508495X
The Good Earth (Cliffs Notes),0,1974,2,4.0,0822005352
From the Good Earth: A Celebration of Growing Food Around the World,0,1993,2,4.2,0810933187
Daily Inspiration for the Purpose Driven Life: Scriptures and Reflections from the 40 Days of Purpose,0,2004,2,4.4,0310807980
Purpose Driven Life - For Commuters: What on Earth Am I Here For?,2,2005,1,3.93,0310258979
Purpose Driven Life Journal: What on Earth Am I Here For?,46,2002,2,4.24,0310803063
A Catholic Perspective On The Purpose Driven Life,2,2006,2,3.8200000000000003,0899421326
Daily Inspiration for the Purpose Driven Life,0,2004,2,4.4,0310807255
Fast Food Nation: The Dark Side of the All-American Meal,4941,2005,1,3.74,0060838582
Fast Food Nation: What The All-American Meal is Doing to the World,77,2002,1,3.74,0141006870
Snow Flower and the Secret Fan,14966,2006,1,4.07,0812968069
Do You Want to Know a Secret?: The Story of the Official George Harrison Fan Club,0,2005,2,5.0,074142892X
Secrets of the Super [Football] Athletes: Tips for Fans and Players,0,1982,2,5.0,044097979X
All Men Have Secrets,4,1995,2,3.92,0863698743
The Broker,2354,2006,1,3.7800000000000002,0385340540
The Power Broker: Robert Moses and the Fall of New York,1271,1975,1,4.51,0394720245
Body for Life Success Journal,2,2002,2,4.04,0060515597
Body Piercing Saved My Life: Inside the Phenomenon of Christian Rock,45,2006,2,3.61,0306814579
The Warren Buffett Way,16,2005,1,4.14,0471743674
The Warren Buffett Portfolio: Mastering the Power of the Focus Investment Strategy,2,2000,2,4.14,0471392642
Trade Like Warren Buffett,8,2005,2,3.56,0471655848
How to Think Like Benjamin Graham and Invest Like Warren Buffett,8,2002,2,3.7800000000000002,0071409394
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,1,2003,1,4.08,0471430455
Warren Buffett: : Master of the Market,0,1999,2,3.62,0380788861
Warren Buffett: The Good Guy of Wall Street,0,1995,2,4.1,155611432X
The Buffettology Workbook: Value Investing The Warren Buffett Way,2,2001,2,3.94,0684871718
Of Permanent Value: The Story of Warren Buffet,1,2002,2,4.07,0964190540
Damn Right!: Behind the Scenes with Berkshire Hathaway Billionaire Charlie Munger,54,2003,2,4.14,0471446912
Monkey Business: Swinging Through the Wall Street Jungle,140,2001,2,3.95,0446676950
Monkey Business,31,2004,2,4.17,1553374622
Monkey Business: True Story of the Scopes Trial,8,2005,1,3.15,0805431578
Simply Bruschetta: Garlic Toast the Italian Way,2,2001,2,3.75,0945045069
Simply Italian,0,2002,2,3.9,174045197X
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,2,2001,1,4.08,1841721476
Simply Tuscan: Recipes for a Well-Lived Life,2,2000,2,3.56,0385492901
Simply Sicilian: Family Recipes,0,2005,2,0.0,0595350356
Everyday Italian: 125 Simple and Delicious Recipes,218,2005,1,3.95,1400052580
Everyday Pasta,56,2007,1,4.09,0307346587
Alex & Penny in Egypt,0,2007,2,0.0,8854401595
Alex & Penny Ballooning over Italy,0,2007,2,3.0,8854401609
Eat This Book: Cooking with Global Fresh Flavors,15,2004,1,3.93,1400052378
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,13171,2006,1,3.9699999999999998,0061234001
Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,24,2006,2,3.9699999999999998,8466625127
The Semi-Complete Guide to Sort of Being a Gentleman,0,2005,2,4.5,0595341527
Miracle Collapse: The 1969 Chicago Cubs,2,2006,2,3.44,080322026X
La Chute de John R.,0,2003,2,3.96,2714439187
Life of Pi,670,2004,1,3.91,0156030209
